Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
Week 7,Liiv SANDBOX,Kwangdong Freecs,1 - 0,1,13.4,Sejuani,Caitlyn,Karma,Irelia,Annie,Ashe,Lucian,Varus,Lee Sin,Wukong,Nami,Nautilus,Renekton,Jayce,Gnar,LeBlanc,K'Sante,Jax,Sylas,Aurelion Sol,Bot,Jungle,Support,Top,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/ZHGejJd2Igs?feature=share&t=1892
Week 7,Nongshim RedForce,Hanwha Life Esports,0 - 2,2,13.4,Ashe,Annie,Lucian,Varus,Akali,Sejuani,Karma,Caitlyn,Lee Sin,Ezreal,K'Sante,Lux,Vi,Gnar,Wukong,Kassadin,Jayce,Viego,Syndra,Gragas,Support,Bot,Top,Jungle,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/dDMN8ldXP38?feature=share&t=17766
Week 7,Hanwha Life Esports,Nongshim RedForce,1 - 0,1,13.4,Karma,Caitlyn,Sejuani,Annie,Varus,Ashe,Lucian,Zeri,Vi,Nami,Elise,Lulu,Gnar,K'Sante,Akali,Gragas,Renekton,Jayce,Ornn,Ahri,Bot,Support,Jungle,Mid,Top,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/dDMN8ldXP38?feature=share&t=14994
Week 7,Gen.G,KT Rolster,01월 02일,2,13.4,Sejuani,Ashe,Jayce,Annie,Karma,Elise,Caitlyn,Varus,Vi,Wukong,Heimerdinger,Leona,Gragas,Azir,Gnar,Jax,Renekton,K'Sante,Akali,Twisted Fate,Bot,Jungle,Support,Top,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/dDMN8ldXP38?feature=share&t=8652
Week 7,Gen.G,KT Rolster,01월 01일,1,13.4,Sejuani,Ashe,Jayce,Annie,Karma,Elise,Caitlyn,Varus,Lee Sin,Vi,Lux,Leona,Gragas,Azir,Renekton,Jax,Camille,Taliyah,K'Sante,LeBlanc,Bot,Jungle,Support,Mid,Top,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/dDMN8ldXP38?feature=share&t=5536
Week 7,KT Rolster,Gen.G,1 - 0,1,13.4,Varus,Sejuani,Lucian,Caitlyn,Jayce,Ashe,Annie,Karma,Wukong,Zeri,Vi,Ezreal,Lulu,Kassadin,Jax,Renekton,Gnar,Gangplank,Azir,Taliyah,Support,Bot,Jungle,Top,Mid,Support,Jungle,Bot,Top,Mid,SB,https://www.youtube.com/live/dDMN8ldXP38?feature=share&t=1888
Week 7,Dplus KIA,DRX,2 - 0,1,13.4,Varus,Ashe,Karma,Caitlyn,Sejuani,Elise,Annie,Zeri,Lee Sin,Lucian,Nami,Lulu,Vi,Gragas,Wukong,Renekton,Syndra,Viego,Jayce,Sion,Mid,Bot,Support,Jungle,Top,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/T5SaXN_NYnU?feature=share&t=14630
Week 7,DRX,Dplus KIA,0 - 1,2,13.4,Karma,Annie,Jayce,Ashe,Elise,Sejuani,Caitlyn,Varus,Lee Sin,Lux,Gragas,Heimerdinger,Vi,Jax,Camille,Zoe,Renekton,K'Sante,Viego,LeBlanc,Bot,Support,Mid,Top,Jungle,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/T5SaXN_NYnU?feature=share&t=11712
Week 7,Kwangdong Freecs,T1,0 - 2,2,13.4,Lee Sin,Annie,Karma,Sejuani,Caitlyn,Ezreal,Ashe,Varus,Elise,Maokai,Jhin,Gragas,Jax,Jayce,Aurelion Sol,Nautilus,Kalista,Tristana,K'Sante,Fiora,Support,Jungle,Bot,Mid,Top,Bot,Jungle,Mid,Support,Top,SB,https://www.youtube.com/live/T5SaXN_NYnU?feature=share&t=5360
Week 7,Kwangdong Freecs,T1,0 - 1,2,13.4,Caitlyn,Annie,Karma,Lucian,Varus,Ashe,Zeri,Jayce,Lee Sin,Lulu,Sejuani,Gragas,K'Sante,Nautilus,Kassadin,Draven,Aphelios,Viktor,Renekton,Thresh,Bot,Support,Jungle,Mid,Top,Top,Jungle,Mid,Bot,Support,SB,https://www.youtube.com/live/T5SaXN_NYnU?feature=share&t=2697
